Year,Country,Average,Standard Error,Average,Standard Error
2018,Selected countries and jurisdictions,487,(0.5),492,(0.5)
,Australia,488,(2.5),494,(2.4)
,Austria,492,(3.8),505,(3.9)
,Belgium,502,(2.7),514,(2.9)
,Canada,510,(2.7),514,(2.5)
,Chile,414,(2.7),421,(3.3)
,Colombia,381,(3.1),401,(3.8)
,Czech Republic,498,(3.2),501,(2.9)
,Denmark,507,(2.3),511,(2.3)
,Estonia,519,(2.0),528,(2.2)
,Finland,510,(2.2),504,(2.5)
,France,492,(2.8),499,(2.7)
,Germany,496,(3.1),503,(3.0)
,Greece,451,(3.2),452,(3.9)
,Hungary,477,(3.2),486,(3.0)
,Iceland,500,(2.9),490,(2.5)
,Ireland,497,(2.7),503,(2.9)
,Israel,467,(3.5),458,(5.2)
,Italy,479,(3.1),494,(3.3)
,Japan,522,(2.9),532,(3.4)
,Korea,524,(4.0),528,(4.1)
,Latvia,493,(2.5),500,(2.2)
,Lithuania,482,(2.7),480,(2.4)
,Luxembourg,480,(1.7),487,(1.5)
,Mexico,403,(2.7),415,(2.9)
,Netherlands,519,(2.7),520,(3.5)
,New Zealand,490,(2.3),499,(2.5)
,Norway,505,(2.6),497,(2.5)
,Poland,515,(3.1),516,(2.9)
,Portugal,488,(3.1),497,(3.0)
,Slovak Republic,484,(3.2),488,(3.2)
,Slovenia,509,(1.8),509,(1.9)
,Spain,478,(1.5),485,(2.1)
,Sweden,503,(3.1),502,(3.1)
,Switzerland,512,(3.5),519,(3.0)
,Turkey,451,(2.9),456,(3.2)
,United Kingdom,496,(3.0),508,(3.2)
,United States,474,(3.3),482,(3.9)
2015,Selected countries and jurisdictions,483,(0.5),491,(0.5)
2015,Australia,491,(2.5),497,(2.1)
2015,Austria,483,(3.6),510,(3.8)
2015,Belgium,500,(2.8),514,(3.1)
2015,Canada,511,(2.6),520,(2.9)
2015,Chile,413,(3.0),432,(3.1)
2015,Colombia,384,(2.4),395,(3.3)
2015,Czech Republic,489,(2.8),496,(3.3)
2015,Denmark,506,(2.8),516,(2.5)
2015,Estonia,517,(2.3),522,(2.7)
2015,Finland,515,(2.6),507,(2.6)
2015,France,490,(2.6),496,(2.9)
2015,Germany,498,(3.0),514,(3.5)
2015,Greece,454,(3.6),454,(4.7)
2015,Hungary,473,(3.0),481,(3.6)
2015,Iceland,489,(2.4),487,(2.9)
2015,Ireland,495,(2.4),512,(3.0)
2015,Israel,466,(4.0),474,(5.4)
2015,Italy,480,(3.4),500,(3.5)
2015,Japan,525,(3.1),539,(3.8)
2015,Korea,528,(3.9),521,(5.2)
2015,Latvia,483,(2.5),481,(2.6)
2015,Lithuania,479,(2.5),478,(2.8)
2015,Luxembourg,480,(2.0),491,(2.0)
2015,Mexico,404,(2.4),412,(2.7)
2015,Netherlands,511,(2.5),513,(2.6)
2015,New Zealand,491,(2.7),499,(3.4)
2015,Norway,503,(2.3),501,(2.9)
2015,Poland,499,(2.8),510,(2.8)
2015,Portugal,487,(2.7),497,(3.0)
2015,Slovak Republic,472,(3.6),478,(3.0)
2015,Slovenia,508,(2.2),512,(1.9)
2015,Spain,478,(2.8),494,(2.4)
2015,Sweden,495,(3.3),493,(3.8)
2015,Switzerland,515,(3.5),527,(3.2)
2015,Turkey,418,(4.9),423,(4.6)
2015,United Kingdom,487,(3.1),498,(2.9)
2015,United States,465,(3.4),474,(3.6)
2012,Selected countries and jurisdictions,485,(0.5),496,(0.6)
2012,Australia,498,(2.0),510,(2.4)
2012,Austria,494,(3.3),517,(3.9)
2012,Belgium,509,(2.6),520,(2.9)
2012,Canada,513,(2.1),523,(2.1)
2012,Chile,411,(3.1),436,(3.8)
2012,Colombia,364,(3.2),390,(3.4)
2012,Czech Republic,493,(3.6),505,(3.7)
2012,Denmark,493,(2.3),507,(2.9)
2012,Estonia,518,(2.2),523,(2.6)
2012,Finland,520,(2.2),517,(2.6)
2012,France,491,(2.5),499,(3.4)
2012,Germany,507,(3.4),520,(3.0)
2012,Greece,449,(2.6),457,(3.3)
2012,Hungary,473,(3.6),482,(3.7)
2012,Iceland,496,(2.3),490,(2.3)
2012,Ireland,494,(2.6),509,(3.3)
2012,Israel,461,(3.5),472,(7.8)
2012,Italy,476,(2.2),494,(2.4)
2012,Japan,527,(3.6),545,(4.6)
2012,Korea,544,(5.1),562,(5.8)
2012,Latvia,493,(3.2),489,(3.4)
2012,Lithuania,479,(3.0),479,(2.8)
2012,Luxembourg,477,(1.4),502,(1.5)
2012,Mexico,406,(1.4),420,(1.6)
2012,Netherlands,518,(3.9),528,(3.6)
2012,New Zealand,492,(2.9),507,(3.2)
2012,Norway,488,(3.4),490,(2.8)
2012,Poland,516,(3.8),520,(4.3)
2012,Portugal,481,(3.9),493,(4.1)
2012,Slovak Republic,477,(4.1),486,(4.1)
2012,Slovenia,499,(2.0),503,(2.0)
2012,Spain,476,(2.0),492,(2.4)
2012,Sweden,480,(2.4),477,(3.0)
2012,Switzerland,524,(3.1),537,(3.5)
2012,Turkey,444,(5.7),452,(5.1)
2012,United Kingdom,488,(3.8),500,(4.2)
2012,United States,479,(3.9),484,(3.8)
2009,Selected countries and jurisdictions,486,(0.5),497,(0.6)
2009,Australia,509,(2.8),519,(3.0)
2009,Austria,486,(4.0),506,(3.4)
2009,Belgium,504,(3.0),526,(3.3)
2009,Canada,521,(1.7),533,(2.0)
2009,Chile,410,(3.6),431,(3.7)
2009,Colombia,366,(3.3),398,(4.0)
2009,Czech Republic,490,(3.0),495,(3.9)
2009,Denmark,495,(2.9),511,(3.0)
2009,Estonia,508,(2.9),516,(2.9)
2009,Finland,539,(2.5),542,(2.5)
2009,France,489,(3.4),505,(3.8)
2009,Germany,505,(3.3),520,(3.6)
2009,Greece,459,(3.3),473,(5.4)
2009,Hungary,484,(3.9),496,(4.2)
2009,Iceland,505,(1.9),508,(2.0)
2009,Ireland,483,(3.0),491,(3.4)
2009,Israel,443,(3.3),451,(4.7)
2009,Italy,475,(2.2),490,(2.3)
2009,Japan,524,(3.9),534,(5.3)
2009,Korea,544,(4.5),548,(6.2)
2009,Latvia,481,(3.4),483,(3.5)
2009,Lithuania,480,(3.0),474,(3.1)
2009,Luxembourg,479,(1.3),499,(2.0)
2009,Mexico,412,(1.9),425,(2.1)
2009,Netherlands,517,(5.1),534,(4.8)
2009,New Zealand,515,(2.9),523,(3.2)
2009,Norway,495,(2.8),500,(2.7)
2009,Poland,493,(3.2),497,(3.0)
2009,Portugal,481,(3.1),493,(3.3)
2009,Slovak Republic,495,(3.4),498,(3.7)
2009,Slovenia,501,(1.7),502,(1.8)
2009,Spain,474,(2.5),493,(2.3)
2009,Sweden,495,(3.3),493,(3.1)
2009,Switzerland,524,(3.4),544,(3.7)
2009,Turkey,440,(5.6),451,(4.6)
2009,United Kingdom,482,(3.3),503,(3.2)
2009,United States,477,(3.8),497,(4.0)
2006,Selected countries and jurisdictions,485,(0.6),496,(0.6)
2006,Australia,513,(2.4),527,(3.2)
2006,Austria,494,(4.1),517,(4.4)
2006,Belgium,517,(3.4),524,(4.1)
2006,Canada,520,(2.0),534,(2.4)
2006,Chile,396,(4.7),424,(5.5)
2006,Colombia,360,(5.0),382,(4.1)
2006,Czech Republic,504,(4.8),514,(4.2)
2006,Denmark,508,(3.0),518,(2.9)
2006,Estonia,514,(3.0),515,(3.3)
2006,Finland,543,(2.6),554,(2.7)
2006,France,492,(3.3),499,(4.0)
2006,Germany,494,(3.9),513,(4.6)
2006,Greece,457,(3.0),462,(4.3)
2006,Hungary,486,(3.7),496,(3.5)
2006,Iceland,508,(2.2),503,(2.6)
2006,Ireland,496,(3.2),507,(3.7)
2006,Israel,436,(4.3),448,(6.6)
2006,Italy,453,(2.7),470,(2.9)
2006,Japan,513,(4.9),533,(4.8)
2006,Korea,543,(4.5),552,(5.3)
2006,Latvia,484,(3.2),489,(3.5)
2006,Lithuania,485,(3.3),487,(3.3)
2006,Luxembourg,482,(1.8),498,(1.7)
2006,Mexico,401,(3.1),410,(3.4)
2006,Netherlands,524,(2.8),537,(3.1)
2006,New Zealand,517,(3.6),527,(3.1)
2006,Norway,487,(2.8),493,(3.3)
2006,Poland,491,(2.7),500,(2.8)
2006,Portugal,459,(3.2),474,(3.7)
2006,Slovak Republic,485,(3.5),499,(3.7)
2006,Slovenia,502,(1.8),507,(1.8)
2006,Spain,476,(2.6),484,(2.6)
2006,Sweden,500,(3.0),505,(2.7)
2006,Switzerland,523,(3.6),536,(3.3)
2006,Turkey,421,(5.1),427,(5.6)
2006,United Kingdom,487,(2.6),504,(2.6)
2006,United States,470,(3.9),479,(4.6)
2003,Selected countries and jurisdictions,494,(0.6),505,(0.7)
2003,Australia,522,(2.7),527,(3.0)
2003,Austria,502,(4.0),509,(4.0)
2003,Belgium,525,(3.2),533,(3.4)
2003,Canada,530,(1.9),541,(2.1)
2003,Chile,,,,
2003,Colombia,,,,
2003,Czech Republic,509,(4.4),524,(4.3)
2003,Denmark,506,(3.0),523,(3.4)
2003,Estonia,,,,
2003,Finland,541,(2.1),548,(2.5)
2003,France,507,(2.9),515,(3.6)
2003,Germany,499,(3.9),508,(4.0)
2003,Greece,436,(3.8),455,(4.8)
2003,Hungary,486,(3.3),494,(3.3)
2003,Iceland,523,(2.2),508,(2.3)
2003,Ireland,495,(3.4),510,(3.0)
2003,Israel,,,,
2003,Italy,457,(3.8),475,(4.6)
2003,Japan,530,(4.0),539,(5.8)
2003,Korea,528,(5.3),552,(4.4)
2003,Latvia,482,(3.6),485,(4.8)
2003,Lithuania,,,,
2003,Luxembourg,485,(1.5),502,(1.9)
2003,Mexico,380,(4.1),391,(4.3)
2003,Netherlands,535,(3.5),540,(4.1)
2003,New Zealand,516,(3.2),531,(2.8)
2003,Norway,492,(2.9),498,(2.8)
2003,Poland,487,(2.9),493,(3.0)
2003,Portugal,460,(3.4),472,(4.2)
2003,Slovak Republic,489,(3.6),507,(3.9)
2003,Slovenia,,,,
2003,Spain,481,(2.2),490,(3.4)
2003,Sweden,506,(3.1),512,(3.0)
2003,Switzerland,518,(3.6),535,(4.7)
2003,Turkey,415,(6.7),430,(7.9)
2003,United Kingdom,505,(3.9),512,(2.9)
2003,United States,480,(3.2),486,(3.3)
2000,Selected countries and jurisdictions,,,,
2000,Australia,,,,
2000,Austria,,,,
2000,Belgium,,,,
2000,Canada,,,,
2000,Chile,,,,
2000,Colombia,,,,
2000,Czech Republic,,,,
2000,Denmark,,,,
2000,Estonia,,,,
2000,Finland,,,,
2000,France,,,,
2000,Germany,,,,
2000,Greece,,,,
2000,Hungary,,,,
2000,Iceland,,,,
2000,Ireland,,,,
2000,Israel,,,,
2000,Italy,,,,
2000,Japan,,,,
2000,Korea,,,,
2000,Latvia,,,,
2000,Lithuania,,,,
2000,Luxembourg,,,,
2000,Mexico,,,,
2000,Netherlands,,,,
2000,New Zealand,,,,
2000,Norway,,,,
2000,Poland,,,,
2000,Portugal,,,,
2000,Slovak Republic,,,,
2000,Slovenia,,,,
2000,Spain,,,,
2000,Sweden,,,,
2000,Switzerland,,,,
2000,Turkey,,,,
2000,United Kingdom,,,,
2000,United States,,,,
