Year,Country,Average,Standard Error
2018,Selected countries and jurisdictions,489,(0.4)
2018,Australia,491,(1.9)
2018,Austria,499,(3.0)
2018,Belgium,508,(2.3)
2018,Canada,512,(2.4)
2018,Chile,417,(2.4)
2018,Colombia,391,(3.0)
2018,Czech Republic,499,(2.5)
2018,Denmark,509,(1.7)
2018,Estonia,523,(1.7)
2018,Finland,507,(2.0)
2018,France,495,(2.3)
2018,Germany,500,(2.6)
2018,Greece,451,(3.1)
2018,Hungary,481,(2.3)
2018,Iceland,495,(2.0)
2018,Ireland,500,(2.2)
2018,Israel,463,(3.5)
2018,Italy,487,(2.8)
2018,Japan,527,(2.5)
2018,Korea,526,(3.1)
2018,Latvia,496,(2.0)
2018,Lithuania,481,(2.0)
2018,Luxembourg,483,(1.1)
2018,Mexico,409,(2.5)
2018,Netherlands,519,(2.6)
2018,New Zealand,494,(1.7)
2018,Norway,501,(2.2)
2018,Poland,516,(2.6)
2018,Portugal,492,(2.7)
2018,Slovak Republic,486,(2.6)
2018,Slovenia,509,(1.4)
2018,Spain,481,(1.5)
2018,Sweden,502,(2.7)
2018,Switzerland,515,(2.9)
2018,Turkey,454,(2.3)
2018,United Kingdom,502,(2.6)
2018,United States,478,(3.2)
2015,Selected countries and jurisdictions,487,(0.4)
2015,Australia,494,(1.6)
2015,Austria,497,(2.9)
2015,Belgium,507,(2.4)
2015,Canada,516,(2.3)
2015,Chile,423,(2.5)
2015,Colombia,390,(2.3)
2015,Czech Republic,492,(2.4)
2015,Denmark,511,(2.2)
2015,Estonia,520,(2.0)
2015,Finland,511,(2.3)
2015,France,493,(2.1)
2015,Germany,506,(2.9)
2015,Greece,454,(3.8)
2015,Hungary,477,(2.5)
2015,Iceland,488,(2.0)
2015,Ireland,504,(2.1)
2015,Israel,470,(3.6)
2015,Italy,490,(2.8)
2015,Japan,532,(3.0)
2015,Korea,524,(3.7)
2015,Latvia,482,(1.9)
2015,Lithuania,478,(2.3)
2015,Luxembourg,486,(1.3)
2015,Mexico,408,(2.2)
2015,Netherlands,512,(2.2)
2015,New Zealand,495,(2.3)
2015,Norway,502,(2.2)
2015,Poland,504,(2.4)
2015,Portugal,492,(2.5)
2015,Slovak Republic,475,(2.7)
2015,Slovenia,510,(1.3)
