Year,Country,Average,Standard Error
2018,Selected countries and jurisdictions,487,(0.4)
2018,Australia,503,(1.6)
2018,Austria,484,(2.7)
2018,Belgium,493,(2.3)
2018,Canada,520,(1.8)
2018,Chile,452,(2.6)
2018,Colombia,412,(3.3)
2018,Czech Republic,490,(2.5)
2018,Denmark,501,(1.8)
2018,Estonia,523,(1.8)
2018,Finland,520,(2.3)
2018,France,493,(2.3)
2018,Germany,498,(3.0)
2018,Greece,457,(3.6)
2018,Hungary,476,(2.3)
2018,Iceland,474,(1.7)
2018,Ireland,518,(2.2)
2018,Israel,470,(3.7)
2018,Italy,476,(2.4)
2018,Japan,504,(2.7)
2018,Korea,514,(2.9)
2018,Latvia,479,(1.6)
2018,Lithuania,476,(1.5)
2018,Luxembourg,470,(1.1)
2018,Mexico,420,(2.7)
2018,Netherlands,485,(2.7)
2018,New Zealand,506,(2.0)
2018,Norway,499,(2.2)
2018,Poland,512,(2.7)
2018,Portugal,492,(2.4)
2018,Slovak Republic,458,(2.2)
2018,Slovenia,495,(1.2)
2018,Spain,,
2018,Sweden,506,(3.0)
2018,Switzerland,484,(3.1)
2018,Turkey,466,(2.2)
2018,United Kingdom,504,(2.6)
2018,United States,505,(3.6)
2015,Selected countries and jurisdictions,490,(0.5)
2015,Australia,503,(1.7)
2015,Austria,485,(2.8)
2015,Belgium,499,(2.4)
2015,Canada,527,(2.3)
2015,Chile,459,(2.6)
2015,Colombia,425,(2.9)
2015,Czech Republic,487,(2.6)
2015,Denmark,500,(2.5)
2015,Estonia,519,(2.2)
2015,Finland,526,(2.5)
2015,France,499,(2.5)
2015,Germany,509,(3.0)
2015,Greece,467,(4.3)
2015,Hungary,470,(2.7)
2015,Iceland,482,(2.0)
2015,Ireland,521,(2.5)
2015,Israel,479,(3.8)
2015,Italy,485,(2.7)
2015,Japan,516,(3.2)
2015,Korea,517,(3.5)
2015,Latvia,488,(1.8)
2015,Lithuania,472,(2.7)
2015,Luxembourg,481,(1.4)
2015,Mexico,423,(2.6)
2015,Netherlands,503,(2.4)
2015,New Zealand,509,(2.4)
2015,Norway,513,(2.5)
2015,Poland,506,(2.5)
2015,Portugal,498,(2.7)
2015,Slovak Republic,453,(2.8)
2015,Slovenia,505,(1.5)
2015,Spain,496,(2.4)
2015,Sweden,500,(3.5)
2015,Switzerland,492,(3.0)
2015,Turkey,428,(4.0)
2015,United Kingdom,498,(2.8)
2015,United States,497,(3.4)
2012,Selected countries and jurisdictions,493,(0.5)
2012,Australia,512,(1.6)
2012,Austria,490,(2.8)
2012,Belgium,509,(2.3)
2012,Canada,523,(1.9)
2012,Chile,441,(2.9)
2012,Colombia,403,(3.4)
2012,Czech Republic,493,(2.9)
2012,Denmark,496,(2.6)
2012,Estonia,516,(2.0)
2012,Finland,524,(2.4)
2012,France,505,(2.8)
2012,Germany,508,(2.8)
2012,Greece,477,(3.3)
2012,Hungary,488,(3.2)
2012,Iceland,483,(1.8)
2012,Ireland,523,(2.6)
2012,Israel,486,(5.0)
2012,Italy,490,(2.0)
2012,Japan,538,(3.7)
2012,Korea,536,(3.9)
2012,Latvia,489,(2.4)
2012,Lithuania,477,(2.5)
2012,Luxembourg,488,(1.5)
2012,Mexico,424,(1.5)
2012,Netherlands,511,(3.5)
2012,New Zealand,512,(2.4)
2012,Norway,504,(3.2)
2012,Poland,518,(3.1)
2012,Portugal,488,(3.8)
2012,Slovak Republic,463,(4.2)
2012,Slovenia,481,(1.2)
2012,Spain,488,(1.9)
2012,Sweden,483,(3.0)
2012,Switzerland,509,(2.6)
2012,Turkey,475,(4.2)
2012,United Kingdom,499,(3.5)
2012,United States,498,(3.7)
2009,Selected countries and jurisdictions,490,(0.5)
2009,Australia,515,(2.3)
2009,Austria,470,(2.9)
2009,Belgium,506,(2.3)
2009,Canada,524,(1.5)
2009,Chile,449,(3.1)
2009,Colombia,413,(3.7)
2009,Czech Republic,478,(2.9)
2009,Denmark,495,(2.1)
2009,Estonia,501,(2.6)
2009,Finland,536,(2.3)
2009,France,496,(3.4)
2009,Germany,497,(2.7)
2009,Greece,483,(4.3)
2009,Hungary,494,(3.2)
2009,Iceland,500,(1.4)
2009,Ireland,496,(3.0)
2009,Israel,474,(3.6)
2009,Italy,486,(1.6)
2009,Japan,520,(3.5)
2009,Korea,539,(3.5)
2009,Latvia,484,(3.0)
2009,Lithuania,468,(2.4)
2009,Luxembourg,472,(1.3)
2009,Mexico,425,(2.0)
2009,Netherlands,508,(5.1)
2009,New Zealand,521,(2.4)
2009,Norway,503,(2.6)
2009,Poland,500,(2.6)
2009,Portugal,489,(3.1)
2009,Slovak Republic,477,(2.5)
2009,Slovenia,483,(1.0)
2009,Spain,481,(2.0)
2009,Sweden,497,(2.9)
2009,Switzerland,501,(2.4)
2009,Turkey,464,(3.5)
2009,United Kingdom,494,(2.3)
2009,United States,500,(3.7)
2006,Selected countries and jurisdictions,485,(0.6)
2006,Australia,513,(2.1)
2006,Austria,490,(4.1)
2006,Belgium,501,(3.0)
2006,Canada,527,(2.4)
2006,Chile,442,(5.0)
2006,Colombia,385,(5.1)
2006,Czech Republic,483,(4.2)
2006,Denmark,494,(3.2)
2006,Estonia,501,(2.9)
2006,Finland,547,(2.1)
2006,France,488,(4.1)
2006,Germany,495,(4.4)
2006,Greece,460,(4.0)
2006,Hungary,482,(3.3)
2006,Iceland,484,(1.9)
2006,Ireland,517,(3.5)
2006,Israel,439,(4.6)
2006,Italy,469,(2.4)
2006,Japan,498,(3.6)
2006,Korea,556,(3.8)
2006,Latvia,479,(3.7)
2006,Lithuania,470,(3.0)
2006,Luxembourg,479,(1.3)
2006,Mexico,410,(3.1)
2006,Netherlands,507,(2.9)
2006,New Zealand,521,(3.0)
2006,Norway,484,(3.2)
2006,Poland,508,(2.8)
2006,Portugal,472,(3.6)
2006,Slovak Republic,466,(3.1)
2006,Slovenia,494,(1.0)
2006,Spain,461,(2.2)
2006,Sweden,507,(3.4)
2006,Switzerland,499,(3.1)
2006,Turkey,447,(4.2)
2006,United Kingdom,495,(2.3)
2006,United States,,
2003,Selected countries and jurisdictions,494,(0.6)
2003,Australia,525,(2.1)
2003,Austria,491,(3.8)
2003,Belgium,507,(2.6)
2003,Canada,528,(1.7)
2003,Chile,,
2003,Colombia,,
2003,Czech Republic,489,(3.5)
2003,Denmark,492,(2.8)
2003,Estonia,,
2003,Finland,543,(1.6)
2003,France,496,(2.7)
2003,Germany,491,(3.4)
2003,Greece,472,(4.1)
2003,Hungary,482,(2.5)
2003,Iceland,492,(1.6)
2003,Ireland,515,(2.6)
2003,Israel,,
2003,Italy,476,(3.0)
2003,Japan,498,(3.9)
2003,Korea,534,(3.1)
2003,Latvia,491,(3.7)
2003,Lithuania,,
2003,Luxembourg,479,(1.5)
2003,Mexico,400,(4.1)
2003,Netherlands,513,(2.9)
2003,New Zealand,522,(2.5)
2003,Norway,500,(2.8)
2003,Poland,497,(2.9)
2003,Portugal,478,(3.7)
2003,Slovak Republic,469,(3.1)
2003,Slovenia,,
2003,Spain,481,(2.6)
2003,Sweden,514,(2.4)
2003,Switzerland,499,(3.3)
2003,Turkey,441,(5.8)
2003,United Kingdom,507,(2.5)
2003,United States,495,(3.2)
2000,Selected countries and jurisdictions,493,(0.7)
2000,Australia,528,(3.5)
2000,Austria,492,(2.7)
2000,Belgium,507,(3.6)
2000,Canada,534,(1.6)
2000,Chile,410,(3.6)
2000,Colombia,,
2000,Czech Republic,492,(2.4)
2000,Denmark,497,(2.4)
2000,Estonia,,
2000,Finland,546,(2.6)
2000,France,505,(2.7)
2000,Germany,484,(2.5)
2000,Greece,474,(5.0)
2000,Hungary,480,(4.0)
2000,Iceland,507,(1.5)
2000,Ireland,527,(3.2)
2000,Israel,452,(8.5)
2000,Italy,487,(2.9)
2000,Japan,522,(5.2)
2000,Korea,525,(2.4)
2000,Latvia,458,(5.3)
2000,Lithuania,,
2000,Luxembourg,441,(1.6)
2000,Mexico,422,(3.3)
2000,Netherlands,,
2000,New Zealand,529,(2.8)
2000,Norway,505,(2.8)
2000,Poland,479,(4.5)
2000,Portugal,470,(4.5)
2000,Slovak Republic,,
2000,Slovenia,,
2000,Spain,493,(2.7)
2000,Sweden,516,(2.2)
2000,Switzerland,494,(4.2)
2000,Turkey,,
2000,United Kingdom,523,(2.6)
2000,United States,504,(7.0)
