Year,Country,Average,Standard Error,Average,Standard Error
2018,Selected countries and jurisdictions,490,(0.5),488,(0.5)
2018,Australia,502,(2.0),504,(2.4)
2018,Austria,489,(3.6),491,(3.8)
2018,Belgium,496,(2.7),501,(2.6)
2018,Canada,520,(2.5),516,(2.7)
2018,Chile,442,(2.6),445,(3.2)
2018,Colombia,407,(2.9),420,(3.8)
2018,Czech Republic,498,(3.1),496,(3.2)
2018,Denmark,494,(2.2),492,(2.5)
2018,Estonia,533,(2.3),528,(2.3)
2018,Finland,534,(2.9),510,(2.9)
2018,France,493,(2.8),493,(2.7)
2018,Germany,504,(3.3),502,(3.2)
2018,Greece,457,(3.2),446,(3.8)
2018,Hungary,478,(3.1),484,(3.1)
2018,Iceland,479,(2.8),471,(2.3)
2018,Ireland,497,(2.6),495,(3.0)
2018,Israel,471,(3.5),452,(5.3)
2018,Italy,466,(2.6),470,(3.0)
2018,Japan,528,(3.0),531,(3.5)
2018,Korea,517,(3.6),521,(3.9)
2018,Latvia,491,(2.4),483,(2.2)
2018,Lithuania,485,(2.1),479,(2.3)
2018,Luxembourg,479,(1.7),475,(1.7)
2018,Mexico,415,(2.9),424,(2.8)
2018,Netherlands,508,(3.1),499,(3.6)
2018,New Zealand,508,(2.8),509,(2.9)
2018,Norway,496,(2.8),485,(2.6)
2018,Poland,511,(3.1),511,(2.8)
2018,Portugal,489,(3.3),494,(3.0)
2018,Slovak Republic,467,(3.0),461,(2.8)
2018,Slovenia,512,(2.0),502,(1.6)
2018,Spain,482,(1.8),484,(1.9)
2018,Sweden,503,(3.7),496,(3.2)
2018,Switzerland,495,(3.3),495,(3.3)
2018,Turkey,472,(2.5),465,(2.9)
2018,United Kingdom,503,(3.2),506,(3.1)
2018,United States,502,(3.5),503,(3.9)
2015,Selected countries and jurisdictions,489,(0.5),492,(0.5)
2015,Australia,509,(1.7),511,(2.1)
2015,Austria,486,(3.1),504,(3.6)
2015,Belgium,496,(2.7),508,(3.1)
2015,Canada,527,(2.3),528,(2.5)
2015,Chile,440,(2.7),454,(3.1)
2015,Colombia,411,(2.4),421,(3.1)
2015,Czech Republic,488,(2.5),497,(3.3)
2015,Denmark,499,(3.2),505,(2.6)
2015,Estonia,533,(2.3),536,(2.7)
2015,Finland,541,(2.6),521,(2.7)
2015,France,494,(2.7),496,(2.7)
2015,Germany,504,(2.8),514,(3.2)
2015,Greece,459,(3.9),451,(4.6)
2015,Hungary,475,(2.9),478,(3.4)
2015,Iceland,475,(2.1),472,(2.6)
2015,Ireland,497,(2.6),508,(3.2)
2015,Israel,464,(4.1),469,(4.7)
2015,Italy,472,(3.6),489,(3.1)
2015,Japan,532,(2.9),545,(4.1)
2015,Korea,521,(3.3),511,(4.6)
2015,Latvia,496,(2.2),485,(2.0)
2015,Lithuania,479,(2.8),472,(3.3)
2015,Luxembourg,479,(1.5),487,(1.7)
2015,Mexico,412,(2.3),420,(2.6)
2015,Netherlands,507,(2.5),511,(2.9)
2015,New Zealand,511,(2.7),516,(3.2)
2015,Norway,497,(2.7),500,(2.7)
2015,Poland,498,(2.8),504,(2.9)
2015,Portugal,496,(2.6),506,(2.9)
2015,Slovak Republic,461,(3.3),460,(3.0)
2015,Slovenia,516,(1.9),510,(1.9)
2015,Spain,489,(2.5),496,(2.5)
2015,Sweden,496,(3.7),491,(4.1)
2015,Switzerland,502,(3.5),508,(3.1)
2015,Turkey,429,(4.4),422,(4.5)
2015,United Kingdom,509,(3.3),510,(2.9)
2015,United States,493,(3.4),500,(3.7)
2012,Selected countries and jurisdictions,498,(0.5),499,(0.6)
2012,Australia,519,(2.1),524,(2.5)
2012,Austria,501,(3.4),510,(3.9)
2012,Belgium,503,(2.6),507,(3.0)
2012,Canada,524,(2.0),527,(2.4)
2012,Chile,442,(2.9),448,(3.7)
2012,Colombia,390,(3.6),408,(3.4)
2012,Czech Republic,508,(3.5),509,(3.7)
2012,Denmark,493,(2.5),504,(3.5)
2012,Estonia,543,(2.3),540,(2.5)
2012,Finland,554,(2.3),537,(3.0)
2012,France,500,(2.4),498,(3.8)
2012,Germany,524,(3.5),524,(3.1)
2012,Greece,473,(3.0),460,(3.8)
2012,Hungary,493,(3.3),496,(3.4)
2012,Iceland,480,(2.9),477,(2.7)
2012,Ireland,520,(3.1),524,(3.4)
2012,Israel,470,(4.0),470,(7.9)
2012,Italy,492,(2.4),495,(2.2)
2012,Japan,541,(3.5),552,(4.7)
2012,Korea,536,(4.2),539,(4.7)
2012,Latvia,510,(2.8),495,(3.6)
2012,Lithuania,503,(2.6),488,(3.0)
2012,Luxembourg,483,(1.7),499,(1.7)
2012,Mexico,412,(1.3),418,(1.5)
2012,Netherlands,520,(3.9),524,(3.7)
2012,New Zealand,513,(3.3),518,(3.2)
2012,Norway,496,(3.7),493,(3.2)
2012,Poland,527,(3.2),524,(3.7)
2012,Portugal,490,(3.8),488,(4.1)
2012,Slovak Republic,467,(4.2),475,(4.3)
2012,Slovenia,519,(1.9),510,(1.9)
2012,Spain,493,(1.9),500,(2.3)
2012,Sweden,489,(2.8),481,(3.9)
2012,Switzerland,512,(2.7),518,(3.3)
2012,Turkey,469,(4.3),458,(4.5)
2012,United Kingdom,508,(3.7),521,(4.5)
2012,United States,498,(4.0),497,(4.1)
2009,Selected countries and jurisdictions,498,(0.5),498,(0.6)
2009,Australia,528,(2.8),527,(3.1)
2009,Austria,490,(4.4),498,(4.2)
2009,Belgium,503,(3.2),510,(3.6)
2009,Canada,526,(1.9),531,(1.9)
2009,Chile,443,(3.5),452,(3.5)
2009,Colombia,392,(3.7),413,(4.3)
2009,Czech Republic,503,(3.2),498,(4.0)
2009,Denmark,494,(2.9),505,(3.0)
2009,Estonia,528,(3.1),527,(3.1)
2009,Finland,562,(2.6),546,(2.7)
2009,France,497,(3.5),500,(4.6)
2009,Germany,518,(3.3),523,(3.7)
2009,Greece,475,(3.7),465,(5.1)
2009,Hungary,503,(3.5),503,(3.8)
2009,Iceland,495,(2.0),496,(2.1)
2009,Ireland,509,(3.8),507,(4.3)
2009,Israel,456,(3.2),453,(4.4)
2009,Italy,490,(2.0),488,(2.5)
2009,Japan,545,(3.9),534,(5.5)
2009,Korea,539,(4.2),537,(5.0)
2009,Latvia,497,(3.2),490,(3.7)
2009,Lithuania,500,(2.9),483,(3.5)
2009,Luxembourg,480,(1.6),487,(2.0)
2009,Mexico,413,(1.9),419,(2.0)
2009,Netherlands,520,(5.9),524,(5.3)
2009,New Zealand,535,(2.9),529,(4.0)
2009,Norway,502,(2.8),498,(3.0)
2009,Poland,511,(2.8),505,(2.7)
2009,Portugal,495,(3.0),491,(3.4)
2009,Slovak Republic,491,(3.2),490,(4.0)
2009,Slovenia,519,(1.6),505,(1.7)
2009,Spain,485,(2.3),492,(2.5)
2009,Sweden,497,(3.2),493,(3.0)
2009,Switzerland,512,(3.0),520,(3.2)
2009,Turkey,460,(4.5),448,(3.8)
2009,United Kingdom,509,(3.2),519,(3.6)
2009,United States,495,(3.7),509,(4.2)
2006,Selected countries and jurisdictions,494,(0.6),496,(0.6)
2006,Australia,527,(2.7),527,(3.2)
2006,Austria,507,(4.9),515,(4.2)
2006,Belgium,510,(3.2),511,(3.3)
2006,Canada,532,(2.1),536,(2.5)
2006,Chile,426,(4.4),448,(5.4)
2006,Colombia,384,(4.1),393,(4.1)
2006,Czech Republic,510,(4.8),515,(4.2)
2006,Denmark,491,(3.4),500,(3.6)
2006,Estonia,533,(2.9),530,(3.1)
2006,Finland,565,(2.4),562,(2.6)
2006,France,494,(3.6),497,(4.3)
