Year,Country,Average,Standard Error
2018,Selected countries and jurisdictions,489,(0.4)
2018,Australia,503,(1.8)
2018,Austria,490,(2.8)
2018,Belgium,499,(2.2)
2018,Canada,518,(2.2)
2018,Chile,444,(2.4)
2018,Colombia,413,(3.1)
2018,Czech Republic,497,(2.5)
2018,Denmark,493,(1.9)
2018,Estonia,530,(1.9)
2018,Finland,522,(2.5)
2018,France,493,(2.2)
2018,Germany,503,(2.9)
2018,Greece,452,(3.1)
2018,Hungary,481,(2.3)
2018,Iceland,475,(1.8)
2018,Ireland,496,(2.2)
2018,Israel,462,(3.6)
2018,Italy,468,(2.4)
2018,Japan,529,(2.6)
2018,Korea,519,(2.8)
2018,Latvia,487,(1.8)
2018,Lithuania,482,(1.6)
2018,Luxembourg,477,(1.2)
2018,Mexico,419,(2.6)
2018,Netherlands,503,(2.8)
2018,New Zealand,508,(2.1)
2018,Norway,490,(2.3)
2018,Poland,511,(2.6)
2018,Portugal,492,(2.8)
2018,Slovak Republic,464,(2.3)
2018,Slovenia,507,(1.3)
2018,Spain,483,(1.6)
2018,Sweden,499,(3.1)
2018,Switzerland,495,(3.0)
2018,Turkey,468,(2.0)
2018,United Kingdom,505,(2.6)
2018,United States,502,(3.3)
2015,Selected countries and jurisdictions,491,(0.4)
2015,Australia,510,(1.5)
2015,Austria,495,(2.4)
2015,Belgium,502,(2.3)
2015,Canada,528,(2.1)
2015,Chile,447,(2.4)
2015,Colombia,416,(2.4)
2015,Czech Republic,493,(2.3)
2015,Denmark,502,(2.4)
2015,Estonia,534,(2.1)
2015,Finland,531,(2.4)
2015,France,495,(2.1)
2015,Germany,509,(2.7)
2015,Greece,455,(3.9)
2015,Hungary,477,(2.4)
2015,Iceland,473,(1.7)
2015,Ireland,503,(2.4)
2015,Israel,467,(3.4)
2015,Italy,481,(2.5)
2015,Japan,538,(3.0)
2015,Korea,516,(3.1)
2015,Latvia,490,(1.6)
2015,Lithuania,475,(2.7)
2015,Luxembourg,483,(1.1)
2015,Mexico,416,(2.1)
2015,Netherlands,509,(2.3)
2015,New Zealand,513,(2.4)
2015,Norway,498,(2.3)
2015,Poland,501,(2.5)
2015,Portugal,501,(2.4)
2015,Slovak Republic,461,(2.6)
2015,Slovenia,513,(1.3)
2015,Spain,493,(2.1)
2015,Sweden,493,(3.6)
2015,Switzerland,506,(2.9)
2015,Turkey,425,(3.9)
2015,United Kingdom,509,(2.6)
2015,United States,496,(3.2)
2012,Selected countries and jurisdictions,498,(0.5)
2012,Australia,521,(1.8)
2012,Austria,506,(2.7)
2012,Belgium,505,(2.2)
2012,Canada,525,(1.9)
2012,Chile,445,(2.9)
2012,Colombia,399,(3.1)
2012,Czech Republic,508,(3.0)
2012,Denmark,498,(2.7)
2012,Estonia,541,(1.9)
2012,Finland,545,(2.2)
2012,France,499,(2.6)
2012,Germany,524,(3.0)
2012,Greece,467,(3.1)
2012,Hungary,494,(2.9)
2012,Iceland,478,(2.1)
2012,Ireland,522,(2.5)
2012,Israel,470,(5.0)
2012,Italy,494,(1.9)
2012,Japan,547,(3.6)
2012,Korea,538,(3.7)
2012,Latvia,502,(2.8)
2012,Lithuania,496,(2.6)
2012,Luxembourg,491,(1.3)
2012,Mexico,415,(1.3)
2012,Netherlands,522,(3.5)
2012,New Zealand,516,(2.1)
2012,Norway,495,(3.1)
2012,Poland,526,(3.1)
2012,Portugal,489,(3.7)
2012,Slovak Republic,471,(3.6)
2012,Slovenia,514,(1.3)
2012,Spain,496,(1.8)
